,topic,tweet_id,tweet_url,tweet_text,class_label,fake_news,verify_text,verify_url,NLI,,,
0,COVID-19,1254745849286004736,http://twitter.com/user/status/1254745849286004736,"Nieuws over met #COVID19 besmette nertsenbedrijven wordt ook internationaal opgepakt, waaronder Newsweek. 'Both of the infected farms are located in the southern province of Noord-Brabant; also one of the areas worst affected by the new coronavirus'.  https://t.co/9XtqkF1C4X",0,no,,,,,,
1,COVID-19,1242150300179476480,http://twitter.com/user/status/1242150300179476480,Doe eens iets aan die fotografen die de hele tijd door het beeld lopen. #persconferentie #corona #fail,0,no,,,,,,
2,COVID-19,1240592654272008195,http://twitter.com/user/status/1240592654272008195,@HildeDemarre @ChildFocusNL Oh dat doet deugd...we hebben bij @ChildFocusNL dan ook het beste team ever!! #samentegencorona #samensterk,0,no,,,,,,
3,COVID-19,1246779927791312897,http://twitter.com/user/status/1246779927791312897,Nu live op radio en Facebook Perry Zuidam live vanuit zijn eigen tuin . #blijfthuis concert .,0,no,,,,,,121
4,COVID-19,1248206835833847808,http://twitter.com/user/status/1248206835833847808,Ik zie zomaar TWEE vliegtuigen in de overigens helblauwe lucht. #COVID19 https://t.co/XedTvfyEsr,0,no,,,,,,18
5,COVID-19,1242846209460637697,http://twitter.com/user/status/1242846209460637697,rivm is nr.5 trending hashtag in NL in afgelopen 4 uur. https://t.co/ECVjpdUgpG #rivm,0,no,,,,,,
6,COVID-19,1252645920996458497,http://twitter.com/user/status/1252645920996458497,"#persconferentie: Sport: alleen sporten = geen probleem, en kinderen t/m 12 jaar mogen vanaf 28 apr weer buiten trainen. Middelbare schoolleeftijd t/m 18 jaar: ook buiten sporten, wel met 1,5 meter afstand. Geen ouders langs de lijn, thuis douchen #coronamaatregelen #coronacrisis",0,no,,,,,,
7,COVID-19,1246845749750620162,http://twitter.com/user/status/1246845749750620162,"Breaking #ITALIË ✝️✝️✝️ Hoopvolle WE-UPDATE +525 #DODEN (totaal 15.887) *** +4.805 nieuwe besmettingen (totaal nu 124.632)  *** 1 op 8 Italianen die getest wordt blijkt positief te zijn *** 3 dalende trends doden,  ICU's en ziekenhuisopname's *** meer gezinnen gedwongen isolatie https://t.co/uQHJ0lnXbk",1,no,,,,No proof on wiki,,
8,COVID-19,1244319035799547904,http://twitter.com/user/status/1244319035799547904,#blijfthuis Leestip van de week: The Hunting Party is slim geschreven en zeer spannend. Een moordmysterie met een twist. https://t.co/bxrmnuTFJQ,0,no,,,,,,
9,COVID-19,1255587672543895552,http://twitter.com/user/status/1255587672543895552,covid19 is nr.8 trending hashtag in NL in afgelopen 4 uur. https://t.co/7Dx5eMswA7 #covid19,0,no,,,,,,
10,COVID-19,1244352741255806977,http://twitter.com/user/status/1244352741255806977,Het enige wat het #RIVM en #Rutte afgelopen weken consequent hebben gedaan is de problemen voor zich uit heeft geschoven en elk week wachten ze maar af op de resultaten van de volgende week etcetc #wanbeleid  RIVM somberder dan vorige week:om IC-capaciteit https://t.co/p7QFjv1BT2,1,yes,"Het maatschappelijke verkeer werd ontwricht door het virus en door overheidsingrepen om de uitbraak te bedwingen. Het kabinet-Rutte III sloot onder meer alle scholen, universiteiten, bibliotheken, cafés, niet-essentiële winkels, musea, bioscopen en restaurants op enig moment. De centrale eindexamens van 2020 werden op alle middelbare scholen geschrapt. Sportwedstrijden en tal van andere evenementen werden afgelast. Aan iedereen werd geadviseerd om 1,5 meter afstand van elkaar te bewaren en zoveel mogelijk binnen te blijven. Er werd tijdelijk een avondklok ingevoerd en reizen van en naar het buitenland werd afgeraden.
Verpleeghuizen en kleinschalige woonvormen in de ouderenzorg werden vanaf 20 maart gesloten voor bezoekers en anderen die niet noodzakelijk waren voor de basiszorg. Een deel van de instellingen was daar al uit eigen beweging toe overgegaan. Omgekeerd mochten bewoners de instellingen niet meer verlaten en niet op weekendbezoek gaan bij familie. Alle gezamenlijke groepsactiviteiten in de instellingen werden stopgezet om verspreiding tegen te gaan. De eenzaamheid bij de bewoners veroorzaakte veel mentale klachten en een achteruitgang bij de bewoners. Vele bewoners verloren de zin in het leven. De helft van de coronasterfgevallen tot september 2020 vond plaats in een verpleeghuis. Dat had dan weer een ""grote sociale en psychische impact"", omdat familieleden niet altijd afscheid konden nemen van hun naasten..",https://nl.wikipedia.org/wiki/Coronacrisis_in_Nederland,refute,Date is relevant for this,,
11,COVID-19,1244746233312350212,http://twitter.com/user/status/1244746233312350212,covid19 is nr.10 trending hashtag in NL in afgelopen 4 uur. https://t.co/7Dx5eMswA7 #covid19,0,no,,,,,,
12,COVID-19,1239627437065080837,http://twitter.com/user/status/1239627437065080837,Eerste coronabesmetting in Leiderdorp 😩😱 @rivm #coronanederland #CoronaCrisis #COVID19 #leiderdorp https://t.co/zGkjyPlBnq #Leiderdorpwkbld,0,no,,,,,,
13,COVID-19,1243968263203311618,http://twitter.com/user/status/1243968263203311618,Treintje en Allard zitten wel heel dicht bij elkaar @RTLBoulevard #houdafstand,0,,,,,,,
14,COVID-19,1243165260368011264,http://twitter.com/user/status/1243165260368011264,"Let goed op de woorden van #RIVM: ""Het aantal in het ziekenhuis opgenomen patiënten en het aantal overledenen neemt minder snel toe dan je zonder maatregelen zou verwachten""  RIVM: genomen maatregelen krijgen mogelijk invloed op snelheid..... https://t.co/OMoNDM8bLL via @NOS",0,no,,,,,,
15,COVID-19,1246834284666683392,http://twitter.com/user/status/1246834284666683392,"#Italië lijkt op weg terug, maar wel 525 nieuwe doden. Druk op IC vermindert. Waarschuwing: nog steeds thuis blijven, het is absoluut niet voorbij. https://t.co/RM8lgALDyt",0,no,,,,,,
16,COVID-19,1246081862092685312,http://twitter.com/user/status/1246081862092685312,Vandaag was ik de eerste in onze koffiecorner #thuiswerken #wijzijnhu https://t.co/5frH9BuGs4,0,no,,,,,,
